Tag_rate,Ikssmin_kA,Sgn_eff_MVA,H_s,Out_of_step
1000,11,5.599999904632568,2.5,0.0
1000,11,2.5999999046325684,2.5,0.0
100,15,2.5999999046325684,1.6,0.0
100,4,1.600000023841858,0.3,0.0
1000,4,1.600000023841858,0.1,1.0
1000,15,2.5999999046325684,3.5,0.0
1000,13,5.099999904632568,3.2,0.0
1000,15,0.6000000238418579,3.0,1.0
1000,7,7.599999904632568,1.7,0.0
100,14,7.599999904632568,2.3,0.0
100,6,10.100000381469728,1.6,0.0
1000,14,0.6000000238418579,4.4,1.0
100,13,5.099999904632568,0.7,0.0
1000,14,8.600000381469727,1.2,0.0
100,8,5.099999904632568,5.0,0.0
1000,14,2.0999999046325684,4.2,0.0
100,10,5.099999904632568,3.1,0.0
100,14,6.099999904632568,3.2,0.0
100,10,6.099999904632568,2.7,0.0
1000,3,7.599999904632568,1.8,0.0
100,11,4.099999904632568,1.4,0.0
100,5,5.599999904632568,1.5,0.0
100,13,8.600000381469727,2.5,0.0
1000,15,7.599999904632568,3.1,0.0
100,7,4.599999904632568,1.8,0.0
100,6,8.600000381469727,4.4,0.0
1000,11,5.599999904632568,0.1,0.0
1000,15,6.099999904632568,2.5,0.0
1000,13,5.599999904632568,1.6,0.0
100,12,5.099999904632568,1.1,0.0
100,10,6.099999904632568,4.8,0.0
100,5,9.100000381469728,1.5,0.0
100,11,4.599999904632568,1.8,0.0
1000,3,10.100000381469728,0.4,0.0
100,7,7.599999904632568,2.8,0.0
100,10,3.5999999046325684,0.7,0.0
100,12,7.099999904632568,3.6,0.0
100,12,9.100000381469728,1.3,0.0
100,15,0.1000000014901161,1.0,1.0
1000,11,9.600000381469728,2.7,0.0
100,15,1.600000023841858,0.4,0.0
1000,8,5.599999904632568,0.2,0.0
100,9,9.600000381469728,1.9,0.0
100,15,4.099999904632568,1.1,0.0
100,11,7.099999904632568,3.9,0.0
100,15,2.5999999046325684,4.7,0.0
100,7,9.600000381469728,1.6,0.0
1000,11,9.100000381469728,0.2,0.0
100,11,10.100000381469728,2.7,0.0
100,9,9.100000381469728,0.5,0.0
100,7,4.599999904632568,5.0,0.0
1000,7,5.099999904632568,1.9,0.0
1000,13,9.100000381469728,5.0,0.0
100,14,0.6000000238418579,0.5,1.0
100,11,9.600000381469728,0.9,0.0
100,13,2.0999999046325684,1.9,0.0
