PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_FNR,best_Brier,best_ECE,best_Latency_ms
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B3,step1_static,leave-level-out,0.14163242538250234,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Sgn,step1_static,22.6950525000575,0.584,0,0,0,1,0,0,0,0,1,0,0,0
0.09752266381524498,0.1519951026119403,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.12320220646043246,0.19643385987922352,0.0,10720.0,4.4710884008101596e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C1,step1_static,leave-level-out,0.13413350869639643,0.3279335796807177,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Sgn,step1_static,8.397401250113035,0.5602631039600415,0,0,0,1,0,0,0,0,1,0,0,0
0.0784837574516047,0.3431531308302239,0.14463197374589778,0.9640625,0.25152874031797795,0.31921641791044775,0.6416394589552239,0.1106963299697044,0.10134388067674278,0.0359375,7775.0,0.004925952757980946,0.005,0.004,3422,7298,46,1234,3423,7297,49,1231,0.96171875,0.14434803001876173,0.6806902985074627,C2,step1_static,leave-level-out,0.08245141198381056,0.0,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Sgn,step1_static,0.9173012502287747,0.5593352638912487,0,0,0,0,0,0,0,0,0,0,1,1
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666645333433333,0.10666566666666667,0.0,10720.0,1e-06,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C3,step1_static,leave-level-out,0.14163242538250234,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Sgn,step1_static,7.755825000276673,0.5840002353329333,0,0,0,1,0,0,0,1,1,0,0,0
0.9105754757965498,0.990030025652985,0.8183646112600537,0.95390625,0.8809523809523809,0.9747201492537313,0.9643131996268657,0.04685258508221179,0.06285075036475565,0.04609375,521.0,0.9803179258105625,0.98,0.716,10449,271,59,1221,10447,273,59,1221,0.95390625,0.8172690763052208,0.02546641791044776,A1,step1_static,leave-level-out,0.09385913816815028,0.02506445304819391,A1,Logistic + interactions,Tier A,1.0,V3_leave_Ik,step1_static,1.829631250075181,0.9199287312310218,0,0,0,0,0,0,0,0,0,0,0,0
0.9995888480819748,0.999966694846082,1.0,0.98203125,0.9909341742215215,1.0,0.991015625,0.002336604086076938,0.0024168355308563398,0.01796875,39.0,1.0,1.0,0.001,10720,0,23,1257,10720,0,23,1257,0.98203125,1.0,0.0,A2,step1_static,leave-level-out,0.0005308394830864156,0.012200822403483962,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Ik,step1_static,1.8109812499460531,0.9922493097687306,0,0,1,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0024877790166902627,0.010023677360603946,0.0,0.0,0.627539647650325,0.65,0.439,10720,0,0,1280,10720,0,50,1230,0.9609375,1.0,0.0,B1,step1_static,leave-level-out,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Ik,step1_static,7.102408750142786,0.9975013367892333,1,1,1,1,1,1,1,0,1,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.636919846652893e-10,1.018520011320667e-05,0.0,0.0,0.9993712991315951,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step1_static,leave-level-out,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Ik,step1_static,9.32492124993587,0.9999984719945063,1,1,1,1,1,1,1,1,1,1,1,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005700497693945669,0.001358843227062465,0.0,0.0,0.4059349204791497,1.0,0.036000000000000004,10720,0,0,1280,10720,0,60,1220,0.953125,1.0,0.0,B3,step1_static,leave-level-out,0.0,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Ik,step1_static,22.6950525000575,0.9995681536081829,1,1,1,1,1,1,1,0,1,0,0,0
0.1775104077333271,0.5522998411263993,0.14610276127228242,0.3265625,0.2018836029944458,0.7721082089552239,0.549335354477612,0.09330161368692377,0.02985742893777652,0.6734375,10720.0,0.13708600067189308,0.046,0.0,8277,2443,862,418,484,10236,56,1224,0.95625,0.1068062827225131,0.9548507462686567,C1,step1_static,leave-level-out,0.01083704709904603,0.07195156189375011,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Ik,step1_static,8.397401250113035,0.3935017782778948,0,0,0,0,0,0,0,0,0,0,0,0
0.992510343634196,0.9987763817630597,0.9941715237302248,0.9328125,0.962515114873035,0.9993470149253731,0.9660797574626866,0.034663249265889914,0.08681257510207595,0.0671875,311.0,0.8156291899285057,0.741,0.658,10713,7,86,1194,10653,67,64,1216,0.95,0.9477786438035853,0.00625,C2,step1_static,leave-level-out,0.003248648446404174,0.002970472343025247,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Ik,step1_static,0.9173012502287747,0.946601326482011,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013155266643230148,0.0052824022041087935,0.0,0.0,0.6410256410256411,0.717,0.291,10720,0,0,1280,10720,0,59,1221,0.95390625,1.0,0.0,C3,step1_static,leave-level-out,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Ik,step1_static,7.755825000276673,0.9986814290036544,1,1,1,1,1,1,1,0,1,0,0,0
