t,PR_AUC,Recall,FNR
9863,0.977909600037478,0.9910714285714286,0.008928571428571428
9864,0.977909600037478,0.9910714285714286,0.008928571428571428
9865,0.977909600037478,0.9910714285714286,0.008928571428571428
9866,0.977909600037478,0.9910714285714286,0.008928571428571428
9867,0.977909600037478,0.9910714285714286,0.008928571428571428
9868,0.977909600037478,0.9910714285714286,0.008928571428571428
9869,0.977909600037478,0.9910714285714286,0.008928571428571428
9870,0.977909600037478,0.9910714285714286,0.008928571428571428
9871,0.977909600037478,0.9910714285714286,0.008928571428571428
9872,0.977909600037478,0.9910714285714286,0.008928571428571428
9873,0.977909600037478,0.9910714285714286,0.008928571428571428
9874,0.9779110438121901,0.9910714285714286,0.008928571428571428
9875,0.9779110438121901,0.9910714285714286,0.008928571428571428
9876,0.9779110438121901,0.9910714285714286,0.008928571428571428
9877,0.9779110438121901,0.9910714285714286,0.008928571428571428
9878,0.9779110438121901,0.9910714285714286,0.008928571428571428
9879,0.9779110438121901,0.9910714285714286,0.008928571428571428
9880,0.9779110438121901,0.9910714285714286,0.008928571428571428
9881,0.9779110438121901,0.9910714285714286,0.008928571428571428
9882,0.9779110438121901,0.9910714285714286,0.008928571428571428
9883,0.9779110438121901,0.9910714285714286,0.008928571428571428
9884,0.9779110438121901,0.9910714285714286,0.008928571428571428
9885,0.9779110438121901,0.9910714285714286,0.008928571428571428
9886,0.9779110438121901,0.9910714285714286,0.008928571428571428
9887,0.9779110438121901,0.9910714285714286,0.008928571428571428
9888,0.9779110438121901,0.9910714285714286,0.008928571428571428
9889,0.9779110438121901,0.9910714285714286,0.008928571428571428
9890,0.9779110438121901,0.9910714285714286,0.008928571428571428
9891,0.9779110438121901,0.9910714285714286,0.008928571428571428
9892,0.9779110438121901,0.9910714285714286,0.008928571428571428
9893,0.9779110438121901,0.9910714285714286,0.008928571428571428
9894,0.9779110438121901,0.9910714285714286,0.008928571428571428
9895,0.9779110438121901,0.9910714285714286,0.008928571428571428
9896,0.9779110438121901,0.9910714285714286,0.008928571428571428
9897,0.9779110438121901,0.9910714285714286,0.008928571428571428
9898,0.9779110438121901,0.9910714285714286,0.008928571428571428
9899,0.9779110438121901,0.9910714285714286,0.008928571428571428
9900,0.9779110438121901,0.9910714285714286,0.008928571428571428
9901,0.9779110438121901,0.9910714285714286,0.008928571428571428
9902,0.9779110438121901,0.9910714285714286,0.008928571428571428
9903,0.9779110438121901,0.9910714285714286,0.008928571428571428
9904,0.9779110438121901,0.9910714285714286,0.008928571428571428
9905,0.9779110438121901,0.9910714285714286,0.008928571428571428
9906,0.9779110438121901,0.9910714285714286,0.008928571428571428
9907,0.9779110438121901,0.9910714285714286,0.008928571428571428
9908,0.9779110438121901,0.9910714285714286,0.008928571428571428
9909,0.9779110438121901,0.9910714285714286,0.008928571428571428
9910,0.9779110438121901,0.9910714285714286,0.008928571428571428
9911,0.9779110438121901,0.9910714285714286,0.008928571428571428
9912,0.9779110438121901,0.9910714285714286,0.008928571428571428
9913,0.9779110438121901,0.9910714285714286,0.008928571428571428
9914,0.9779142275910643,0.9910714285714286,0.008928571428571428
9915,0.9779142275910643,0.9910714285714286,0.008928571428571428
9916,0.9779142275910643,0.9910714285714286,0.008928571428571428
9917,0.9779142275910643,0.9910714285714286,0.008928571428571428
9918,0.9779142275910643,0.9910714285714286,0.008928571428571428
9919,0.9779142275910643,0.9910714285714286,0.008928571428571428
9920,0.9779142275910643,0.9910714285714286,0.008928571428571428
9921,0.9779142275910643,0.9910714285714286,0.008928571428571428
9922,0.9779142275910643,0.9910714285714286,0.008928571428571428
9923,0.9779142275910643,0.9910714285714286,0.008928571428571428
9924,0.9779142275910643,0.9910714285714286,0.008928571428571428
9925,0.9779142275910643,0.9910714285714286,0.008928571428571428
