t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
15855,0,0,0,0.0,0.7956204379562044
15856,0,0,0,0.0,0.8175182481751825
15857,0,0,0,1.0,0.8832116788321167
15858,0,0,0,1.0,0.44525547445255476
15859,0,0,0,0.0,0.06569343065693431
15860,0,0,0,1.0,0.41605839416058393
15861,0,0,0,0.0,1e-06
15862,0,0,0,0.0,0.029197080291970805
15863,0,0,0,0.0,1e-06
15864,0,0,0,0.0,0.0437956204379562
15865,0,0,0,1.0,0.44525547445255476
15866,0,0,0,1.0,0.48175182481751827
15867,0,0,0,0.0,0.0437956204379562
15868,0,0,0,1.0,0.41605839416058393
15869,0,0,0,0.0,1e-06
15870,0,0,0,0.0,0.058394160583941604
15871,0,0,0,0.0,0.11678832116788322
15872,0,0,0,0.0,1e-06
15873,0,0,0,0.0,1e-06
15874,0,0,0,0.0,1e-06
15875,0,0,0,0.0,1e-06
15876,0,0,0,0.0,1e-06
15877,0,0,0,1.0,0.48175182481751827
15878,0,0,0,1.0,0.3868613138686131
15879,0,0,0,0.0,0.0437956204379562
15880,0,0,0,1.0,0.45255474452554745
15881,0,0,0,0.0,0.09489051094890512
15882,0,0,0,1.0,0.3357664233576642
15883,0,0,0,1.0,0.583941605839416
15884,0,0,0,0.0,1e-06
15885,0,0,0,0.0,0.0437956204379562
15886,0,0,0,1.0,0.37956204379562036
15887,0,0,0,0.0,0.0437956204379562
15888,0,0,0,0.0,0.0437956204379562
15889,0,0,0,0.0,0.029197080291970805
15890,0,0,0,0.0,1e-06
15891,0,0,0,0.0,0.021897810218978103
15892,0,0,0,0.0,0.03649635036496351
15893,0,0,0,1.0,0.6131386861313868
15894,0,0,0,1.0,0.45255474452554745
15895,0,0,0,1.0,0.3722627737226277
15896,0,0,0,0.0,1e-06
15897,0,0,0,0.0,1e-06
15898,0,0,0,1.0,0.5620437956204379
15899,0,0,0,1.0,0.5766423357664233
15900,0,0,0,1.0,0.44525547445255476
15901,0,0,0,0.0,0.9708029197080291
15902,0,0,0,0.0,0.5547445255474451
15903,0,0,0,0.0,0.007299270072992702
15904,0,0,0,0.0,0.0437956204379562
15905,0,0,0,0.0,1e-06
15906,0,0,0,0.0,1e-06
15907,0,0,0,0.0,1e-06
15908,0,0,0,0.0,1e-06
15909,0,0,0,0.0,1e-06
15910,0,0,0,0.0,1e-06
15911,0,0,0,0.0,1e-06
15912,0,0,0,0.0,1e-06
15913,0,0,0,0.0,1e-06
15914,0,0,0,0.0,1e-06
15915,0,0,0,0.0,1e-06
15916,0,0,0,0.0,0.03649635036496351
15917,0,0,0,1.0,0.3357664233576642
15918,0,0,0,0.0,1e-06
15919,0,0,0,0.0,1e-06
15920,0,0,0,1.0,0.48175182481751827
15921,0,0,0,0.0,1e-06
15922,0,0,0,0.0,1e-06
15923,0,0,0,0.0,1e-06
15924,0,0,0,0.0,1e-06
15925,0,0,0,0.0,1e-06
15926,0,0,0,0.0,1e-06
15927,0,0,0,0.0,1e-06
15928,0,0,0,0.0,0.029197080291970805
15929,0,0,0,0.0,0.014598540145985401
15930,0,0,0,1.0,0.35036496350364965
15931,0,0,0,0.0,1e-06
15932,0,0,0,0.0,1e-06
15933,0,0,0,0.0,1e-06
15934,0,0,0,0.0,0.007299270072992702
15935,0,0,0,0.0,1e-06
15936,0,0,0,0.0,1e-06
15937,0,0,0,0.0,1e-06
15938,0,0,0,0.0,1e-06
15939,0,0,0,0.0,1e-06
15940,0,0,0,0.0,0.03649635036496351
15941,0,0,0,0.0,1e-06
15942,0,0,0,0.0,1e-06
15943,0,0,0,0.0,1e-06
15944,0,0,0,0.0,1e-06
15945,0,0,0,0.0,1e-06
15946,0,0,0,0.0,0.029197080291970805
15947,0,0,0,0.0,1e-06
15948,0,0,0,0.0,0.014598540145985401
15949,0,0,0,0.0,1e-06
15950,0,0,0,0.0,1e-06
15951,0,0,0,0.0,1e-06
15952,0,0,0,1.0,0.9343065693430657
15953,0,0,0,0.0,1e-06
15954,0,0,0,0.0,1e-06
15955,0,0,0,0.0,1e-06
15956,0,0,0,0.0,1e-06
15957,0,0,0,0.0,1e-06
15958,0,0,0,0.0,1e-06
15959,0,0,0,0.0,1e-06
15960,0,0,0,0.0,1e-06
15961,0,0,0,0.0,1e-06
15962,0,0,0,0.0,1e-06
15963,0,0,0,0.0,1e-06
15964,0,0,0,0.0,1e-06
15965,0,0,0,0.0,1e-06
15966,0,0,0,0.0,1e-06
15967,0,0,0,0.0,1e-06
15968,0,0,0,0.0,1e-06
15969,0,0,0,0.0,1e-06
15970,0,0,0,0.0,1e-06
15971,0,0,0,0.0,1e-06
15972,0,0,0,0.0,1e-06
15973,0,0,0,0.0,1e-06
15974,0,0,0,0.0,1e-06
15975,0,0,0,0.0,1e-06
15976,0,0,0,0.0,1e-06
15977,0,0,0,0.0,1e-06
15978,0,0,0,0.0,1e-06
15979,0,0,0,0.0,1e-06
15980,0,0,0,0.0,1e-06
15981,0,0,0,0.0,1e-06
15982,0,0,0,0.0,1e-06
15983,0,0,0,0.0,1e-06
15984,0,0,0,0.0,1e-06
15985,0,0,0,0.0,1e-06
15986,0,0,0,0.0,1e-06
15987,0,0,0,0.0,1e-06
15988,0,0,0,0.0,1e-06
15989,0,0,0,0.0,1e-06
15990,0,0,0,0.0,1e-06
15991,0,0,0,0.0,1e-06
15992,0,0,0,0.0,1e-06
15993,0,0,0,0.0,1e-06
15994,0,0,0,0.0,1e-06
15995,0,0,0,0.0,1e-06
15996,0,0,0,0.0,1e-06
15997,0,0,0,0.0,1e-06
15998,0,0,0,0.0,1e-06
15999,0,0,0,0.0,1e-06
16000,0,0,0,0.0,1e-06
16001,0,0,0,0.0,1e-06
16002,0,0,0,0.0,1e-06
16003,0,0,0,0.0,0.072992700729927
16004,0,0,0,0.0,1e-06
16005,0,0,0,0.0,1e-06
16006,0,0,0,0.0,1e-06
16007,0,0,0,0.0,1e-06
16008,0,0,0,0.0,1e-06
16009,0,0,0,0.0,1e-06
16010,0,0,0,0.0,1e-06
16011,0,0,0,0.0,1e-06
16012,0,0,0,0.0,1e-06
16013,0,0,0,0.0,1e-06
16014,0,0,0,0.0,1e-06
16015,0,0,0,0.0,1e-06
16016,0,0,0,0.0,1e-06
16017,0,0,0,0.0,1e-06
16018,0,0,0,0.0,1e-06
16019,0,0,0,0.0,1e-06
16020,0,0,0,0.0,1e-06
16021,0,0,0,0.0,1e-06
16022,0,0,0,0.0,1e-06
16023,0,0,0,0.0,1e-06
16024,0,0,0,0.0,1e-06
16025,0,0,0,0.0,1e-06
16026,0,0,0,0.0,1e-06
16027,0,0,0,0.0,1e-06
16028,0,0,0,0.0,1e-06
16029,0,0,0,0.0,1e-06
16030,0,0,0,0.0,1e-06
16031,0,0,0,0.0,1e-06
16032,0,0,0,0.0,1e-06
16033,0,0,0,0.0,1e-06
16034,0,0,0,0.0,1e-06
16035,0,0,0,0.0,1e-06
16036,0,0,0,0.0,1e-06
16037,0,0,0,0.0,1e-06
16038,0,0,0,0.0,1e-06
16039,0,0,0,0.0,1e-06
16040,0,0,0,0.0,1e-06
16041,0,0,0,0.0,1e-06
16042,0,0,0,0.0,1e-06
16043,0,0,0,0.0,1e-06
16044,0,0,0,0.0,1e-06
16045,0,0,0,0.0,1e-06
16046,0,0,0,0.0,1e-06
16047,0,0,0,0.0,1e-06
16048,0,0,0,0.0,1e-06
16049,0,0,0,0.0,1e-06
16050,0,0,0,0.0,1e-06
16051,0,0,0,0.0,1e-06
16052,0,0,0,0.0,1e-06
16053,0,0,0,0.0,1e-06
16054,0,0,0,0.0,1e-06
16055,0,0,0,0.0,1e-06
16056,0,0,0,0.0,1e-06
16057,0,0,0,0.0,1e-06
16058,0,0,0,0.0,1e-06
16059,0,0,0,0.0,1e-06
16060,0,0,0,0.0,1e-06
16061,0,0,0,0.0,1e-06
