Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step
100,3,4.599999904632568,4.2,GR1,0.0
100,3,4.599999904632568,4.3,GR1,0.0
100,3,4.599999904632568,4.4,GR1,0.0
100,3,4.599999904632568,4.5,GR1,0.0
100,3,4.599999904632568,4.6,GR1,0.0
100,3,4.599999904632568,4.7,GR1,0.0
100,3,4.599999904632568,4.8,GR1,0.0
100,3,4.599999904632568,4.9,GR1,0.0
100,3,4.599999904632568,5.0,GR1,0.0
100,3,5.099999904632568,0.1,GR1,0.0
100,3,5.099999904632568,0.2,GR1,0.0
100,3,5.099999904632568,0.3,GR1,0.0
100,3,5.099999904632568,0.4,GR1,0.0
100,3,5.099999904632568,0.5,GR1,0.0
100,3,5.099999904632568,0.6,GR1,0.0
100,3,5.099999904632568,0.7,GR1,0.0
100,3,5.099999904632568,0.8,GR1,0.0
100,3,5.099999904632568,0.9,GR1,0.0
100,3,5.099999904632568,1.0,GR1,0.0
100,3,5.099999904632568,1.1,GR1,0.0
100,3,5.099999904632568,1.2,GR1,0.0
100,3,5.099999904632568,1.3,GR1,0.0
100,3,5.099999904632568,1.4,GR1,0.0
100,3,5.099999904632568,1.5,GR1,0.0
100,3,5.099999904632568,1.6,GR1,0.0
100,3,5.099999904632568,1.7,GR1,0.0
100,3,5.099999904632568,1.8,GR1,0.0
100,3,5.099999904632568,1.9,GR1,0.0
100,3,5.099999904632568,2.0,GR1,0.0
100,3,5.099999904632568,2.1,GR1,0.0
100,3,5.099999904632568,2.2,GR1,0.0
100,3,5.099999904632568,2.3,GR1,0.0
100,3,5.099999904632568,2.4,GR1,0.0
100,3,5.099999904632568,2.5,GR1,0.0
100,3,5.099999904632568,2.6,GR1,0.0
100,3,5.099999904632568,2.7,GR1,0.0
100,3,5.099999904632568,2.8,GR1,0.0
100,3,5.099999904632568,2.9,GR1,0.0
100,3,5.099999904632568,3.0,GR1,0.0
100,3,5.099999904632568,3.1,GR1,0.0
100,3,5.099999904632568,3.2,GR1,0.0
100,3,5.099999904632568,3.3,GR1,0.0
100,3,5.099999904632568,3.4,GR1,0.0
100,3,5.099999904632568,3.5,GR1,0.0
100,3,5.099999904632568,3.6,GR1,0.0
100,3,5.099999904632568,3.7,GR1,0.0
100,3,5.099999904632568,3.8,GR1,0.0
100,3,5.099999904632568,3.9,GR1,0.0
100,3,5.099999904632568,4.0,GR1,0.0
100,3,5.099999904632568,4.1,GR1,0.0
100,3,5.099999904632568,4.2,GR1,0.0
100,3,5.099999904632568,4.3,GR1,0.0
100,3,5.099999904632568,4.4,GR1,0.0
100,3,5.099999904632568,4.5,GR1,0.0
100,3,5.099999904632568,4.6,GR1,0.0
100,3,5.099999904632568,4.7,GR1,0.0
100,3,5.099999904632568,4.8,GR1,0.0
100,3,5.099999904632568,4.9,GR1,0.0
100,3,5.099999904632568,5.0,GR1,0.0
