Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step,_VRT,min_diff,Output
100,3,2.59999990463257,2,GR1,0,1,-0.00132051107375153,OK
100,3,2.59999990463257,2.1,GR1,0,1,-0.00129236275080491,OK
100,3,2.59999990463257,2.2,GR1,0,1,-0.00127826175194234,OK
100,3,2.59999990463257,2.3,GR1,0,1,-0.0012793337822895,OK
100,3,2.59999990463257,2.4,GR1,0,1,-0.00129572391032351,OK
100,3,2.59999990463257,2.5,GR1,0,1,-0.0013262079218922,OK
100,3,2.59999990463257,2.6,GR1,0,1,-0.00136816567742248,OK
100,3,2.59999990463257,2.7,GR1,0,1,-0.00141860172616326,OK
100,3,2.59999990463257,2.8,GR1,0,1,-0.0014741857176398,OK
100,3,2.59999990463257,2.9,GR1,0,1,-0.00153171441010269,OK
100,3,2.59999990463257,3,GR1,0,1,-0.00158884849232677,OK
100,3,2.59999990463257,3.1,GR1,0,1,-0.00164341305146798,OK
100,3,2.59999990463257,3.2,GR1,0,1,-0.00169380559982757,OK
100,3,2.59999990463257,3.3,GR1,0,1,-0.00173901792329867,OK
100,3,2.59999990463257,3.4,GR1,0,1,-0.00177836099207207,OK
100,3,2.59999990463257,3.5,GR1,0,1,-0.00181128814586817,OK
100,3,2.59999990463257,3.6,GR1,0,1,-0.00183813410432687,OK
100,3,2.59999990463257,3.7,GR1,0,1,-0.00185901426079493,OK
100,3,2.59999990463257,3.8,GR1,0,1,-0.00187499008028214,OK
100,3,2.59999990463257,3.9,GR1,0,1,-0.00188489224676958,OK
100,3,2.59999990463257,4,GR1,0,1,-0.00189002612792133,OK
100,3,2.59999990463257,4.1,GR1,0,1,-0.00189054467176475,OK
100,3,2.59999990463257,4.2,GR1,0,1,-0.00188764186371615,OK
100,3,2.59999990463257,4.3,GR1,0,1,-0.00188094307376174,OK
100,3,2.59999990463257,4.4,GR1,0,1,-0.0018707629139354,OK
100,3,2.59999990463257,4.5,GR1,0,1,-0.00185707171627214,OK
100,3,2.59999990463257,4.6,GR1,0,1,-0.00184057698975948,OK
100,3,2.59999990463257,4.7,GR1,0,1,-0.00182187841800641,OK
100,3,2.59999990463257,4.8,GR1,0,1,-0.00180131841563402,OK
100,3,2.59999990463257,4.9,GR1,0,1,-0.00177889588225544,OK
100,3,2.59999990463257,5,GR1,0,1,-0.00175595170763765,OK
100,3,3.09999990463257,0.1,GR1,0,1,-0.00217568876174445,OK
100,3,3.09999990463257,0.2,GR1,0,1,-0.00292194724520234,OK
100,3,3.09999990463257,0.3,GR1,0,1,-0.00317278523513775,OK
100,3,3.09999990463257,0.4,GR1,0,1,-0.00326412561089418,OK
100,3,3.09999990463257,0.5,GR1,0,1,-0.00333353693585714,OK
100,3,3.09999990463257,0.6,GR1,0,1,-0.00340150116495308,OK
